Donald J. Trump,20352.0,228.85
Ariana Grande,2956.7,37.4
Narendra Modi,2883.9,45.29
Justin Bieber,1245.8,11.01
Taylor Swift,834.0,9.53
Barack Obama,824.9,6.52
Cristiano Ronaldo,520.6,5.82
Demi Lovato,459.3,8.28
CNN Breaking News,389.1,6.53
Kim Kardashian West,325.5,4.82
Ellen DeGeneres,155.2,1.95
Selena Gomez,152.8,2.4
Lady Gaga,87.9,1.06
KATY PERRY,79.1,0.73
Britney Spears,56.7,1.02
Shakira,41.8,0.8
Justin Timberlake,1.7,0.03
YouTube,0.5,0.01
